x,y,z
-20.485628128051758,-12.712523460388184,1.7386335134506226
-20.393022537231445,-12.743557929992676,1.7450844049453735
-20.432287216186523,-12.628950119018555,1.8117023706436157
-20.536117553710938,-12.598610877990723,1.7919859886169434
-20.533124923706055,-12.78354549407959,1.6714342832565308
-20.456674575805664,-12.828678131103516,1.6652988195419312
-20.584423065185547,-12.68945598602295,1.7140090465545654
-20.331331253051758,-12.658079147338867,1.820791244506836
-20.377885818481445,-12.857246398925781,1.6638286113739014
-20.303560256958008,-12.768155097961426,1.7465081214904785
-20.376312255859375,-12.555068016052246,1.8798102140426636
-20.48111915588379,-12.517502784729004,1.8653669357299805
-20.23548698425293,-12.680298805236816,1.8255361318588257
-20.27422523498535,-12.576238632202148,1.894811749458313
-20.178791046142578,-12.587259292602539,1.9075278043746948
-20.219959259033203,-12.798295974731445,1.7361246347427368
-20.15639877319336,-12.727770805358887,1.7981054782867432
-20.165374755859375,-12.656206130981445,1.8537025451660156
-20.417203903198242,-12.466166496276855,1.9272621870040894
-20.49289894104004,-12.408404350280762,1.9316545724868774
-20.578289031982422,-12.482648849487305,1.8401343822479248
-20.321855545043945,-12.477855682373047,1.9557762145996094
-20.217561721801758,-12.48355770111084,1.9838792085647583
-20.111698150634766,-12.49947738647461,1.9930715560913086
-20.096343994140625,-12.639376640319824,1.8693078756332397
-20.3837947845459,-12.387816429138184,2.000260353088379
-20.279117584228516,-12.39079761505127,2.041203260421753
-20.172521591186523,-12.387534141540527,2.079979181289673
-20.014257431030273,-12.58061408996582,1.9159482717514038
-20.013671875,-12.498868942260742,1.9942615032196045
-20.093198776245117,-12.383959770202637,2.100886821746826
-20.03616714477539,-12.41606616973877,2.075958251953125
-20.440149307250977,-12.293658256530762,2.03844952583313
-20.571937561035156,-12.381035804748535,1.8998734951019287
-20.529895782470703,-12.29160213470459,1.9804928302764893
-20.329076766967773,-12.287517547607422,2.1034798622131348
-20.236783981323242,-12.313748359680176,2.1212687492370605
-20.230985641479492,-12.22363567352295,2.2005226612091064
-20.40123748779297,-12.17673397064209,2.145005702972412
-20.318111419677734,-12.196561813354492,2.1797797679901123
-20.179550170898438,-12.295299530029297,2.1600072383880615
-51.89559555053711,-13.993432998657227,-7.755521774291992
-51.926177978515625,-13.915367126464844,-7.810817718505859
-51.980384826660156,-13.978033065795898,-7.800934314727783
-51.82168960571289,-13.927353858947754,-7.757532596588135
-51.95156478881836,-14.054283142089844,-7.739835739135742
-51.87936782836914,-14.088081359863281,-7.654129981994629
