x,y,z,intensity,return_number,number_of_returns,scan_direction_flag,edge_of_flight_line,classification,synthetic,key_point,withheld,scan_angle_rank,user_data,point_source_id,gps_time
829526.905671112,5932630.606953463,534.26,6,1,1,0,0,2,0,0,0,19,2,2100,363512138.1213569
829526.936872148,5932643.176216655,535.02,19,1,1,0,0,1,0,0,0,19,1,2100,363512138.1484422
829526.9107101846,5932663.137420045,534.24,8,1,1,0,0,2,0,0,0,19,2,2100,363512138.1958407
829526.8686334981,5932674.650722135,534.35,4,2,2,0,0,2,0,0,0,18,2,2100,363512138.216159
829526.8697001606,5932681.500049244,534.69,7,2,2,0,0,2,0,0,0,18,2,2100,363512138.2364734
829526.8696780185,5932681.236088054,535.82,4,1,2,0,0,1,0,0,0,18,1,2100,363512138.2364725
829526.9243526701,5932751.12284084,534.98,9,1,1,0,0,1,0,0,0,17,1,2100,363512138.3854599
829526.8812325086,5932755.962861381,534.53,8,2,2,0,0,2,0,0,0,17,2,2100,363512138.3990025
829526.8917724902,5932728.272488374,547.11,8,1,1,0,0,6,0,0,0,18,6,2100,363512138.3448168
829526.8781202512,5932734.520513641,547.15,9,1,1,0,0,6,0,0,0,18,6,2100,363512138.3583606
829526.9224782791,5932737.717853606,547.17,8,1,1,0,0,6,0,0,0,18,6,2100,363512138.3651325
829526.9083596088,5932740.959203366,547.17,10,1,1,0,0,6,0,0,0,18,6,2100,363512138.3719046
829526.935407003,5932633.80425596,534.22,7,1,1,0,0,2,0,0,0,1,2,2101,363513252.0534999
829526.9064336879,5932635.534913842,534.21,7,1,1,0,0,2,0,0,0,1,2,2101,363513252.0467297
829526.9073503851,5932641.284259513,535.78,10,1,1,0,0,1,0,0,0,1,1,2101,363513252.0128838
829526.9080262264,5932645.816176582,534.2,8,1,1,0,0,2,0,0,0,1,2,2101,363513251.9993413
829526.9378937859,5932649.864145963,534.15,2,1,1,0,0,2,0,0,0,1,2,2101,363513251.9722627
829526.8653312578,5932653.354804506,534.15,8,1,1,0,0,2,0,0,0,1,2,2101,363513251.9587225
829526.8802302612,5932655.144128457,534.22,9,1,1,0,0,2,0,0,0,1,2,2101,363513251.9519523
829526.8953032222,5932658.062778524,534.23,9,1,1,0,0,2,0,0,0,1,2,2101,363513251.9384128
829526.940357742,5932665.762736951,534.21,9,1,1,0,0,2,0,0,0,1,2,2101,363513251.9045636
829526.8821595275,5932667.5960733015,534.24,10,1,1,0,0,2,0,0,0,1,2,2101,363513251.8977933
829526.8679544538,5932670.280065506,534.23,9,1,1,0,0,2,0,0,0,1,2,2101,363513251.877486
829526.8691069185,5932677.554762003,535.77,9,1,1,0,0,1,0,0,0,2,1,2101,363513251.8504028
829526.8990363321,5932682.116042004,534.65,10,2,2,0,0,2,0,0,0,2,2,2101,363513251.8233222
829526.8992520615,5932683.494710241,534.78,13,1,1,0,0,2,0,0,0,2,2,2101,363513251.8165518
829526.9131975981,5932679.0067588845,535.99,12,1,1,0,0,1,0,0,0,2,1,2101,363513251.8436322
829526.8987643156,5932680.224089191,535.92,12,1,1,0,0,1,0,0,0,2,1,2101,363513251.836862
829526.9721503035,5932682.072065876,535.69,8,1,2,0,0,1,0,0,0,2,1,2101,363513251.8233222
829526.9725505096,5932684.756028766,534.75,12,1,1,0,0,2,0,0,0,2,2,2101,363513251.8097816
829526.9732470693,5932689.258686307,534.69,9,1,1,0,0,2,0,0,0,2,2,2101,363513251.7962391
829526.9003984482,5932690.901363374,534.72,8,1,1,0,0,2,0,0,0,2,2,2101,363513251.7894685
829526.9005123825,5932691.634696577,534.74,4,2,2,0,0,2,0,0,0,2,2,2101,363513251.782699
829526.9593674187,5932693.893397383,536.08,8,1,1,0,0,1,0,0,0,2,1,2101,363513251.7691595
829526.9012608312,5932696.474690131,534.66,12,1,1,0,0,2,0,0,0,2,2,2101,363513251.7556199
829526.938818386,5932750.154822607,534.67,6,1,1,0,0,2,0,0,0,3,2,2101,363513251.5051296
829526.8805076168,5932751.2695043525,534.66,7,2,2,0,0,2,0,0,0,3,2,2101,363513251.4983604
829526.9252243395,5932756.798859474,534.52,8,1,1,0,0,2,0,0,0,3,2,2101,363513251.47805
829526.9321995792,5932705.905834257,548.9,7,1,1,0,0,6,0,0,0,2,6,2101,363513251.7217666
829526.9323067003,5932706.595168689,548.92,7,1,1,0,0,6,0,0,0,2,6,2101,363513251.7149981
829526.8740739662,5932708.208513008,548.94,7,1,1,0,0,6,0,0,0,2,6,2101,363513251.7082285
829526.9473890208,5932709.572502856,548.94,6,1,1,0,0,6,0,0,0,2,6,2101,363513251.7014591
829526.8905955738,5932720.675134687,547.11,10,1,1,0,0,6,0,0,0,2,6,2101,363513251.6472988
829526.8902939511,5932718.328589241,550.84,8,1,1,0,0,6,0,0,0,2,6,2101,363513251.6608376
829526.9210143877,5932728.272484489,547.13,9,1,1,0,0,6,0,0,0,2,6,2101,363513251.6134466
829526.9373280643,5932739.199189965,547.14,9,1,1,0,0,6,0,0,0,2,6,2101,363513251.5660531
829526.8934408345,5932739.0378631065,547.15,10,1,1,0,0,6,0,0,0,2,6,2101,363513251.5728218
829526.8939129224,5932742.0885425005,547.12,10,1,1,0,0,6,0,0,0,3,6,2101,363513251.5457449
829526.8823787231,5932763.369575102,534.46,7,1,1,0,0,2,0,0,0,3,2,2101,363513251.4441997
829527.00761166,5932627.996293399,534.3,6,1,1,0,0,2,0,0,0,-21,2,2102,363513798.9469689
829527.0666485653,5932631.574922072,534.3,6,1,1,0,0,2,0,0,0,-22,2,2102,363513798.9537414
